"","X","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"619",58,"4RXpgGM7A4Hg7cFBoH5KyF",0.537,0.777,7,-4.829,0,0.0473,0.0279,6.12e-05,0.0838,0.412,124.943,255093,4,"spotify:track:4RXpgGM7A4Hg7cFBoH5KyF","https://api.spotify.com/v1/audio-analysis/4RXpgGM7A4Hg7cFBoH5KyF"
"620",59,"5KONnBIQ9LqCxyeSPin26k",0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.63,82.142,217419,4,"spotify:track:5KONnBIQ9LqCxyeSPin26k","https://api.spotify.com/v1/audio-analysis/5KONnBIQ9LqCxyeSPin26k"
"621",60,"2bL2gyO6kBdLkNSkxXNh6x",0.465,0.744,4,-6.429,0,0.0635,0.00018,0,0.68,0.332,189.928,231013,4,"spotify:track:2bL2gyO6kBdLkNSkxXNh6x","https://api.spotify.com/v1/audio-analysis/2bL2gyO6kBdLkNSkxXNh6x"
"622",61,"4J37kFNUhbX5NV1VFdVLSH",0.676,0.795,6,-6.648,1,0.0485,0.307,6.61e-06,0.0971,0.614,135.924,219278,4,"spotify:track:4J37kFNUhbX5NV1VFdVLSH","https://api.spotify.com/v1/audio-analysis/4J37kFNUhbX5NV1VFdVLSH"
"623",62,"03fT3OHB9KyMtGMt2zwqCT",0.51,0.898,11,-3.15,1,0.0696,0.0832,0,0.071,0.595,144.056,226867,4,"spotify:track:03fT3OHB9KyMtGMt2zwqCT","https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT"
"624",63,"3jVtllWS5CFFWLQng8sKsr",0.742,0.595,9,-7.51,1,0.107,0.15,0,0.111,0.425,101.013,227000,4,"spotify:track:3jVtllWS5CFFWLQng8sKsr","https://api.spotify.com/v1/audio-analysis/3jVtllWS5CFFWLQng8sKsr"
"625",64,"5CXnIPD6rTjszYYQm6fY2P",0.554,0.875,2,-4.185,1,0.0487,0.0661,1.59e-05,0.118,0.534,121.976,230587,4,"spotify:track:5CXnIPD6rTjszYYQm6fY2P","https://api.spotify.com/v1/audio-analysis/5CXnIPD6rTjszYYQm6fY2P"
"626",65,"5BJSZocnCeSNeYMj3iVqM7",0.714,0.933,7,-3.714,1,0.0571,0.165,0,0.111,0.713,120.019,224227,4,"spotify:track:5BJSZocnCeSNeYMj3iVqM7","https://api.spotify.com/v1/audio-analysis/5BJSZocnCeSNeYMj3iVqM7"
"627",66,"477pWnF7WFWb9Qs6g8rs4J",0.479,0.87,7,-5.739,1,0.0442,0.143,0,0.129,0.503,170.047,220199,4,"spotify:track:477pWnF7WFWb9Qs6g8rs4J","https://api.spotify.com/v1/audio-analysis/477pWnF7WFWb9Qs6g8rs4J"
"628",67,"3DmW6y7wTEYHJZlLo1r6XJ",0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.128,119.987,206167,4,"spotify:track:3DmW6y7wTEYHJZlLo1r6XJ","https://api.spotify.com/v1/audio-analysis/3DmW6y7wTEYHJZlLo1r6XJ"
"629",68,"1oew3nFNY3vMacJAsvry0S",0.544,0.774,5,-4.21,0,0.0339,0.00682,0,0.135,0.535,174.121,193733,4,"spotify:track:1oew3nFNY3vMacJAsvry0S","https://api.spotify.com/v1/audio-analysis/1oew3nFNY3vMacJAsvry0S"
"630",69,"6JEntXLt4z98CcDtIH9sU7",0.675,0.866,1,-6.454,1,0.039,0.00181,0.746,0.415,0.0379,128.007,303827,4,"spotify:track:6JEntXLt4z98CcDtIH9sU7","https://api.spotify.com/v1/audio-analysis/6JEntXLt4z98CcDtIH9sU7"
